,word1,word2,human_similarity,gpt_similarity_left,gpt_similarity_right,gpt_similarity
250,message,communication,4.42,0.8030430823564529,0.81471186876297,0.8088774755597115
251,critic,judge,4.41,0.7441916540265083,0.7378542721271515,0.7410229630768299
252,charter,treaty,4.41,0.761753261089325,0.7780611887574196,0.7699072249233723
253,demand,requirement,4.41,0.8107271119952202,0.8103583082556725,0.8105427101254463
254,treatment,medication,4.4,0.7808408960700035,0.8338179811835289,0.8073294386267662
255,recruit,enlistee,4.39,0.8259671404957771,0.8284241333603859,0.8271956369280815
256,suspect,accused,4.39,0.8035130128264427,0.8083272874355316,0.8059201501309872
257,drama,play,4.38,0.7428140789270401,0.7329123541712761,0.7378632165491581
258,swimming,aquatics,4.36,0.7540817260742188,0.7623162716627121,0.7581989988684654
259,glory,honor,4.36,0.7692831978201866,0.7615693807601929,0.7654262892901897
260,secret,mystery,4.35,0.7726651504635811,0.7714891284704208,0.772077139467001
261,vacuum,void,4.35,0.7471220344305038,0.7259453982114792,0.7365337163209915
262,temper,disposition,4.34,0.6895799040794373,0.6874428614974022,0.6885113827884197
263,panic,fear,4.33,0.8076735958456993,0.8066694736480713,0.8071715347468853
264,flavor,seasoning,4.33,0.8060194924473763,0.8045414984226227,0.8052804954349995
265,exchange,substitution,4.32,0.7273946180939674,0.733230896294117,0.7303127571940422
266,structure,building,4.32,0.7878987342119217,0.7995389550924301,0.7937188446521759
267,shower,rain,4.31,0.7659337371587753,0.7930930629372597,0.7795134000480175
268,honey,nectar,4.31,0.7647811323404312,0.76919836550951,0.7669897489249706
269,transit,travel,4.31,0.7795682027935982,0.7735978811979294,0.7765830419957638
270,weapon,arm,4.31,0.7552402913570404,0.7469895258545876,0.751114908605814
271,leather,hide,4.3,0.72910076379776,0.6880183219909668,0.7085595428943634
272,stranger,foreigner,4.3,0.8172715306282043,0.818885549902916,0.8180785402655602
273,agent,spy,4.29,0.7353411614894867,0.7776979207992554,0.756519541144371
274,distance,remoteness,4.28,0.7265921160578728,0.7395409196615219,0.7330665178596973
275,stable,barn,4.28,0.6509073302149773,0.6833283379673958,0.6671178340911865
276,retreat,recoil,4.27,0.7497166469693184,0.7645119056105614,0.7571142762899399
277,concrete,pavement,4.27,0.7642619758844376,0.783640056848526,0.7739510163664818
278,finance,economics,4.26,0.8186331391334534,0.8148236125707626,0.816728375852108
279,pity,compassion,4.25,0.8115200102329254,0.827893503010273,0.8197067566215992
280,weather,climate,4.25,0.8296174257993698,0.8273543044924736,0.8284858651459217
281,valley,ravine,4.24,0.7929296419024467,0.794412761926651,0.7936712019145489
282,letter,note,4.24,0.7086022794246674,0.6866781115531921,0.6976401954889297
283,timber,tree,4.21,0.7789784297347069,0.7617050409317017,0.7703417353332043
284,salesman,clerk,4.2,0.8171391561627388,0.8136669099330902,0.8154030330479145
285,collar,neckband,4.19,0.7839431688189507,0.7994862496852875,0.7917147092521191
286,sewer,drain,4.18,0.8005398288369179,0.7744063511490822,0.787473089993
287,impact,collision,4.18,0.7490604892373085,0.7859288528561592,0.7674946710467339
288,fury,frenzy,4.15,0.8442695587873459,0.8475112169981003,0.8458903878927231
289,tenure,term,4.15,0.7404283657670021,0.7193782851099968,0.7299033254384995
290,pollen,spore,4.14,0.6714441478252411,0.6722378581762314,0.6718410030007362
291,defeat,failure,4.13,0.779328964650631,0.7805615290999413,0.7799452468752861
292,wisdom,intelligence,4.12,0.7991382330656052,0.7962304502725601,0.7976843416690826
293,unit,one,4.11,0.639903225004673,0.6299779489636421,0.6349405869841576
294,desert,wasteland,4.11,0.8120239153504372,0.8058627471327782,0.8089433312416077
295,virus,infection,4.1,0.8427675887942314,0.842978723347187,0.8428731560707092
296,novel,book,4.09,0.8403622508049011,0.8349081203341484,0.8376351855695248
297,routine,system,4.08,0.7352081164717674,0.7223756834864616,0.7287918999791145
298,problem,issue,4.08,0.8351825252175331,0.8327847942709923,0.8339836597442627
299,recall,retraction,4.07,0.7113323584198952,0.7235399931669235,0.7174361757934093
300,romance,affair,4.05,0.8122366443276405,0.7851421907544136,0.7986894175410271
301,resolve,determination,4.03,0.7950563058257103,0.7918699309229851,0.7934631183743477
302,music,melody,4.03,0.8246109336614609,0.8391794413328171,0.831895187497139
303,tower,turret,4.03,0.7906230092048645,0.8066078498959541,0.7986154295504093
304,plastic,synthetic,4.02,0.754819743335247,0.7537040933966637,0.7542619183659554
305,garbage,sewage,4.02,0.788861908018589,0.8106798157095909,0.79977086186409
306,rally,gathering,4.01,0.7957848906517029,0.7977458238601685,0.7967653572559357
307,debate,discussion,4.0,0.8747139200568199,0.8722065836191177,0.8734602518379688
308,mayor,magistrate,3.97,0.7683626562356949,0.7734298631548882,0.7708962596952915
309,tackle,gear,3.96,0.7029348835349083,0.717140682041645,0.7100377827882767
310,waiter,attendant,3.96,0.779909536242485,0.7472626715898514,0.7635861039161682
311,leader,forerunner,3.95,0.7070696130394936,0.7286880537867546,0.7178788334131241
312,porter,bearer,3.95,0.6862451061606407,0.6833780854940414,0.6848115958273411
313,button,fastener,3.95,0.6883591860532761,0.6731506139039993,0.6807548999786377
314,support,confirmation,3.94,0.7229990661144257,0.7341549843549728,0.7285770252346992
315,native,aborigine,3.87,0.7238900437951088,0.7298436835408211,0.7268668636679649
316,nature,essence,3.87,0.7895220369100571,0.7914682999253273,0.7904951684176922
317,ticket,coupon,3.87,0.7167377769947052,0.7205766439437866,0.7186572104692459
318,pony,horse,3.85,0.7962169498205185,0.8071030452847481,0.8016599975526333
319,shadow,shade,3.84,0.768777646124363,0.7876296266913414,0.7782036364078522
320,record,disk,3.84,0.7169530838727951,0.7290254980325699,0.7229892909526825
321,neighbor,borderer,3.83,0.7198638841509819,0.7087391838431358,0.7143015339970589
322,title,caption,3.83,0.7617329135537148,0.7638776749372482,0.7628052942454815
323,panel,partition,3.81,0.6723790019750595,0.6830606088042259,0.6777198053896427
324,equal,match,3.81,0.717197373509407,0.7075865790247917,0.7123919762670994
325,essay,thesis,3.79,0.7956234216690063,0.7996177077293396,0.797620564699173
326,cement,glue,3.74,0.7891988977789879,0.7850714400410652,0.7871351689100266
327,perfume,incense,3.74,0.7368013560771942,0.7305215150117874,0.7336614355444908
328,powder,dust,3.73,0.7596038207411766,0.7641538232564926,0.7618788219988346
329,counter,bar,3.73,0.6832370609045029,0.6826885417103767,0.6829628013074398
330,river,stream,3.67,0.8253070712089539,0.7820423319935799,0.8036747016012669
331,portrait,likeness,3.64,0.7643086537718773,0.774772047996521,0.7695403508841991
332,context,surroundings,3.62,0.7715220078825951,0.7724374532699585,0.7719797305762768
333,anchor,weight,3.61,0.6869773417711258,0.6771881058812141,0.68208272382617
334,entrance,passageway,3.58,0.7660960331559181,0.7664366960525513,0.7662663646042347
335,volume,largeness,3.56,0.713361419737339,0.7252724394202232,0.7193169295787811
336,sentence,phrase,3.55,0.8128662183880806,0.8122166469693184,0.8125414326786995
337,solid,mass,3.53,0.6937547996640205,0.6804983168840408,0.6871265582740307
338,mountain,hill,3.52,0.8324928730726242,0.8243742734193802,0.8284335732460022
339,worry,torment,3.5,0.7341665327548981,0.7348717674612999,0.734519150108099
340,veto,prohibition,3.49,0.7031329125165939,0.6914616972208023,0.6972973048686981
341,city,town,3.4,0.8613999113440514,0.8562810570001602,0.8588404841721058
342,saddle,seat,3.39,0.7458918988704681,0.7394533455371857,0.7426726222038269
343,ribbon,band,3.39,0.6722191795706749,0.6550199836492538,0.6636195816099644
344,member,fellow,3.35,0.7350032925605774,0.7473809868097305,0.741192139685154
345,trustee,treasurer,3.34,0.8260493353009224,0.8225804194808006,0.8243148773908615
346,tunnel,cave,3.32,0.7656492590904236,0.7666573449969292,0.7661533020436764
347,study,library,3.24,0.7261962071061134,0.734433963894844,0.7303150855004787
348,prayer,appeal,3.15,0.6625576019287109,0.6538015976548195,0.6581795997917652
349,reader,textbook,2.96,0.6817833781242371,0.6891384795308113,0.6854609288275242
350,transfer,removal,2.93,0.7298748344182968,0.7336450517177582,0.7317599430680275
351,welfare,prosperity,2.92,0.7993008941411972,0.8063100278377533,0.8028054609894753
