Word1,Word2,Grand Mean
Repair,Mending,5.57
Meadow,Pasture,5.57
Normal,Usual,5.57
Warfare,Combat,5.57
Worship,Adoration,5.55
Insane,Crazy,5.55
Surprise,Astonishment,5.55
Vessel,Ship,5.54
Control,Regulation,5.53
Capture,Seizure,5.52
Pistol,Gun,5.52
Posture,Stance,5.51
Damage,Harm,5.51
Preserves,Jam,5.48
Picture,Photograph,5.48
Daring,Boldness,5.47
Advice,Guidance,5.47
Terror,Fright,5.47
Double,Duplicate,5.46
Challenge,Dare,5.45
Safety,Security,5.45
Prairie,Grassland,5.44
Contest,Competition,5.44
Talent,Skill,5.43
Highway,Turnpike,5.43
Wagon,Cart,5.43
Palace,Castle,5.42
Adult,Grownup,5.78
Status,Rank,5.77
Savage,Barbarian,5.77
Poison,Venom,5.77
Purpose,Intention,5.74
Echo,Reverberation,5.74
Ethics,Morals,5.74
Delight,Pleasure,5.72
Moisture,Dampness,5.72
Vigor,Energy,5.72
Human,Person,5.71
Logic,Reasoning,5.71
Desire,Wish,5.71
Curtain,Drape,5.69
Justice,Fairness,5.68
Number,Quantity,5.67
Sequence,Series,5.67
Player,Contestant,5.66
Fraction,Part,5.66
Trouble,Difficulty,5.66
Witness,Observer,5.65
Rancher,Cattleman,5.65
Ration,Allowance,5.64
Crossing,Intersection,5.64
Union,Joining,5.63
Verdict,Decision,5.62
Fashion,Style,5.62
Quiet,Silence,5.62
Fourth,Quarter,5.62
Statute,Law,5.61
Instant,Moment,5.61
Impulse,Urge,5.6
Pastor,Minister,5.6
Design,Pattern,5.6
Canyon,Gorge,5.6
Purchase,Buy,6.79
Lawyer,Attorney,6.78
Autumn,Fall,6.72
Penny,Cent,6.71
Taxi,Cab,6.71
Auto,Car,6.68
Error,Mistake,6.66
Pupil,Student,6.63
Victor,Winner,6.6
Answer,Reply,6.58
Present,Gift,6.56
Teacher,Instructor,6.56
Result,Outcome,6.47
Triumph,Victory,6.45
Basement,Cellar,6.44
Excess,Surplus,6.43
Display,Exhibit,6.41
Consent,Permission,6.41
Comment,Remark,6.4
Clothing,Apparel,6.39
Center,Middle,6.37
Command,Order,6.37
Streetcar,Trolley,6.37
Prison,Jail,6.36
Custom,Tradition,6.35
Courage,Bravery,6.34
Balance,Equilibrium,6.34
Singer,Vocalist,6.34
Plenty,Abundance,6.33
Worker,Laborer,6.32
Rabbit,Bunny,6.3
Author,Writer,6.05
Money,Currency,6.04
Rival,Opponent,6.04
Unknown,Anonymous,6.04
Country,Nation,6.03
Children,Youngsters,5.99
Event,Occurrence,5.99
Walker,Pedestrian,5.99
Sunrise,Dawn,5.98
Label,Tag,5.98
Column,Pillar,5.96
Decrease,Reduction,5.94
Profit,Gain,5.94
Motive,Reason,5.92
Fabric,Cloth,5.92
Engine,Motor,5.91
Feeling,Emotion,5.9
Concept,Idea,5.9
Carpet,Rug,5.9
Protest,Objection,5.9
Commerce,Trade,5.89
Poultry,Fowl,5.88
Question,Inquiry,5.88
Shortage,Deficiency,5.88
Income,Earnings,5.88
Insect,Bug,5.87
Story,Tale,5.87
Delay,Postponement,5.87
Expense,Cost,5.84
Labor,Work,5.84
Hazard,Danger,5.79
Summit,Top,5.79
Tremble,Shake,5.79
Survey,Questionnaire,5.78
Driver,Motorist,5.78
Slaughter,Massacre,6.29
Murder,Homicide,6.29
Inside,Interior,6.29
Defect,Flaw,6.29
Speaker,Orator,6.28
Total,Sum,6.28
Pilot,Aviator,6.25
Builder,Constructor,6.25
Couple,Pair,6.24
Dinner,Supper,6.23
Liquid,Fluid,6.23
Motion,Movement,6.22
Freedom,Liberty,6.22
Applause,Clapping,6.22
Value,Worth,6.22
Vision,Sight,6.21
Subject,Topic,6.21
Promise,Vow,6.21
Baby,Infant,6.19
Complaint,Grievance,6.18
Duty,Obligation,6.17
Region,Area,6.16
Movie,Film,6.16
Vital,Important,6.14
Fatigue,Tiredness,6.13
Odor,Smell,6.11
Owner,Proprietor,6.09
Journey,Trip,6.09
Saloon,Barroom,6.09
Crying,Weeping,6.09
Forecast,Prediction,6.08
Quarrel,Argument,6.08
Method,Procedure,6.08
Forest,Woodland,6.05
Blindness,Sightlessness,6.05
Rescue,Recovery,4.48
Harbor,Cove,4.47
Temple,Church,4.46
Costume,Disguise,4.45
Mixture,Compound,4.44
Stature,Height,4.44
Premier,President,4.43
Trial,Hearing,4.43
Wonder,Miracle,4.42
Message,Communication,4.42
Critic,Judge,4.41
Charter,Treaty,4.41
Demand,Requirement,4.41
Treatment,Medication,4.4
Recruit,Enlistee,4.39
Suspect,Accused,4.39
Drama,Play,4.38
Swimming,Aquatics,4.36
Glory,Honor,4.36
Secret,Mystery,4.35
Vacuum,Void,4.35
Temper,Disposition,4.34
Panic,Fear,4.33
Flavor,Seasoning,4.33
Exchange,Substitution,4.32
Structure,Building,4.32
Shower,Rain,4.31
Honey,Nectar,4.31
Transit,Travel,4.31
Weapon,Arm,4.31
Leather,Hide,4.3
Stranger,Foreigner,4.3
Agent,Spy,4.29
Distance,Remoteness,4.28
Stable,Barn,4.28
Retreat,Recoil,4.27
Concrete,Pavement,4.27
Finance,Economics,4.26
Pity,Compassion,4.25
Weather,Climate,4.25
Valley,Ravine,4.24
Letter,Note,4.24
Timber,Tree,4.21
Salesman,Clerk,4.2
Collar,Neckband,4.19
Sewer,Drain,4.18
Impact,Collision,4.18
Fury,Frenzy,4.15
Tenure,Term,4.15
Pollen,Spore,4.14
Defeat,Failure,4.13
Wisdom,Intelligence,4.12
Unit,One,4.11
Desert,Wasteland,4.11
Virus,Infection,4.1
Novel,Book,4.09
Routine,System,4.08
Problem,Issue,4.08
Recall,Retraction,4.07
Romance,Affair,4.05
Resolve,Determination,4.03
Music,Melody,4.03
Tower,Turret,4.03
Plastic,Synthetic,4.02
Garbage,Sewage,4.02
Rally,Gathering,4.01
Debate,Discussion,4.0
Mayor,Magistrate,3.97
Tackle,Gear,3.96
Waiter,Attendant,3.96
Leader,Forerunner,3.95
Porter,Bearer,3.95
Button,Fastener,3.95
Support,Confirmation,3.94
Native,Aborigine,3.87
Nature,Essence,3.87
Ticket,Coupon,3.87
Pony,Horse,3.85
Shadow,Shade,3.84
Record,Disk,3.84
Neighbor,Borderer,3.83
Title,Caption,3.83
Panel,Partition,3.81
Equal,Match,3.81
Essay,Thesis,3.79
Cement,Glue,3.74
Perfume,Incense,3.74
Powder,Dust,3.73
Counter,Bar,3.73
River,Stream,3.67
Portrait,Likeness,3.64
Context,Surroundings,3.62
Anchor,Weight,3.61
Entrance,Passageway,3.58
Volume,Largeness,3.56
Sentence,Phrase,3.55
Solid,Mass,3.53
Mountain,Hill,3.52
Worry,Torment,3.5
Veto,Prohibition,3.49
City,Town,3.4
Saddle,Seat,3.39
Ribbon,Band,3.39
Member,Fellow,3.35
Trustee,Treasurer,3.34
Tunnel,Cave,3.32
Study,Library,3.24
Prayer,Appeal,3.15
Reader,Textbook,2.96
Transfer,Removal,2.93
Welfare,Prosperity,2.92
Muzzle,Nose,2.83
Orbit,Route,2.83
Thunder,Clap,2.72
Patient,Invalid,2.55
Visit,Chat,2.52
Suburb,Neighborhood,2.34
Needle,Spike,2.24
Thickness,Density,4.7
Sample,Example,4.7
Fiber,Thread,4.7
Dwelling,Shelter,4.68
Practice,Training,4.68
Handle,Grip,4.67
Sculpture,Statue,4.66
Serum,Antitoxin,4.66
Concert,Recital,4.66
Whisper,Murmur,4.66
Figure,Form,4.65
Prestige,Importance,4.65
Regard,Respect,4.64
Sanction,Authorization,4.64
Paper,Stationery,4.64
Award,Trophy,4.64
Artist,Craftsman,4.64
Cabin,Cottage,4.61
Profile,Outline,4.61
Knowledge,Information,4.59
Creature,Animal,4.59
Address,Speech,4.59
Bearing,Direction,4.58
Platform,Rostrum,4.58
Species,Type,4.57
Threshold,Doorsill,4.56
Relief,Help,4.54
Request,Petition,4.54
Poem,Verse,4.54
Lightning,Thunderbolt,4.52
Presence,Existence,4.52
Laughter,Chuckle,4.51
Project,Enterprise,4.5
Window,Porthole,4.49
Venture,Speculation,4.49
Beauty,Prettiness,4.89
License,Permit,4.88
Insight,Intuition,4.87
Random,Haphazard,4.87
Weakness,Feebleness,4.87
Factor,Element,4.86
Racial,Ethnic,4.85
Liquor,Intoxicant,4.85
Circle,Ring,4.82
Baton,Wand,4.81
Effect,Influence,4.81
Symptom,Indication,4.81
Judgment,Opinion,4.8
Campaign,Crusade,4.8
Tourist,Traveler,4.8
Decay,Spoilage,4.79
Journal,Magazine,4.78
Limit,Bound,4.78
Report,Account,4.78
Victim,Prey,4.78
Spectrum,Rainbow,4.77
Distress,Anxiety,4.77
Market,Store,4.76
Placement,Classification,4.76
Voyage,Cruise,4.76
Statement,Testimony,4.75
Doctrine,Belief,4.75
Static,Interference,4.74
Model,Standard,4.73
Pension,Annuity,4.72
Harvest,Crop,4.72
Hunger,Appetite,4.71
Object,Article,4.71
Rhythm,Cadence,4.71
Warrant,Writ,4.71
Prospect,Likelihood,5.05
Province,Territory,5.05
Passage,Corridor,5.03
Patent,Copyright,5.03
Congress,Legislature,5.03
Power,Strength,5.02
Supply,Provision,5.02
Product,Commodity,5.01
Puzzle,Perplexity,5.0
Missile,Projectile,5.0
Mainland,Continent,5.0
Mirror,Reflector,4.99
Signal,Sign,4.99
Blanket,Cover,4.99
Village,Hamlet,4.99
Vapor,Gas,4.98
Token,Memento,4.98
Merchant,Trader,4.98
Meaning,Interpretation,4.98
Estate,Property,4.97
Elite,Select,4.96
Virtue,Merit,4.96
Device,Tool,4.95
Notice,Announcement,4.95
Partner,Comrade,4.95
Noble,Aristocrat,4.94
Neglect,Inattention,4.94
Cavity,Hollow,4.93
Sponsor,Patron,4.92
Bundle,Package,4.92
Closet,Cloakroom,4.92
Welcome,Reception,4.92
Cafe,Restaurant,4.91
Marriage,Wedding,4.91
Patrol,Sentry,4.9
