,word1,word2,human,gpt_left,gpt_right,gpt2,gpt4,wup_common,wup_average,lin_common,lin_average
56,spirit,soul,5.11,0.796651103,0.805281617,0.80096636,6.5,0.9090909090909091,0.29048620454193214,0.962473809209151,0.11346842686203096
57,output,yield,5.1,0.74768988,0.743153639,0.74542176,5.8,0.10526315789473684,0.33886029175502863,-0.0,0.18540391510861612
58,savings,reserves,5.09,0.731348857,0.704139493,0.717744175,6.2,0.23529411764705882,0.23627925866702956,0.06321727868509597,0.05662305369463022
59,expert,authority,5.09,0.76774694,0.763326079,0.765536509,5.5,0.16666666666666666,0.35813880207953624,-0.0,0.19239844596884062
60,effort,attempt,5.08,0.860733725,0.846954063,0.853843894,6.0,1.0,0.7019457344341246,1.0,0.49011468596597374
61,servant,maid,5.08,0.785406202,0.792813472,0.789109837,6.1,0.9,0.4338235294117647,0.83076458592461,0.2710373216508172
62,soldier,warrior,5.07,0.844732925,0.846999094,0.84586601,6.4,0.6,0.6,0.2610590894978958,0.23645264212918204
63,jacket,coat,5.07,0.846282206,0.828712188,0.837497197,6.8,0.9565217391304348,0.5338214355154723,0.9448933509069262,0.32900430502804795
64,lesson,instruction,5.07,0.811136641,0.816485472,0.813811056,6.6,0.25,0.43568784103323577,0.07981788390874135,0.27198065317911113
65,disease,illness,5.07,0.896745592,0.889650695,0.893198144,7.0,0.9473684210526315,0.9473684210526315,0.9820395560785415,0.9820395560785415
66,fortune,wealth,5.07,0.80067461,0.816764019,0.808719315,6.2,0.16666666666666666,0.30331144549894545,-0.0,0.1436884481022758
67,cluster,group,5.07,0.768417343,0.763176419,0.765796881,6.3,0.6666666666666666,0.4161616161616162,0.4675186843499488,0.18272459532226684
68,alarm,warning,5.06,0.763251901,0.756654024,0.759952962,6.9,0.25,0.21015408525083448,0.07058049370644319,0.0548410747518507
69,success,accomplishment,5.06,0.815477081,0.823574737,0.819525909,6.7,0.6153846153846154,0.40694201631701626,0.31374900715795323,0.2271463633437145
70,tension,strain,5.6,0.77613616,0.764761493,0.770448826,6.5,0.23529411764705882,0.31550729698421776,0.06758536998988371,0.13227503246332786
71,feature,characteristic,5.59,0.802300103,0.805898882,0.804099493,6.8,1.0,0.2924949097743215,1.0,0.12683848395217132
72,lumber,wood,5.59,0.793649159,0.804864086,0.799256623,6.4,0.2857142857142857,0.41068207624418923,0.08384859905439743,0.18028607355236048
73,program,schedule,5.59,0.745857134,0.751660176,0.748758655,5.1,0.9333333333333333,0.3829656862745098,0.7969189098205774,0.23960600350163752
74,candy,sweets,5.58,0.849878758,0.841948941,0.84591385,6.6,0.23529411764705882,0.4241898864809081,0.06914816953042852,0.3448501323994773
75,crisis,emergency,5.57,0.804813989,0.820795171,0.81280458,6.8,0.25,0.38186873039814223,0.07380465592751523,0.23608859430805765
76,founder,originator,5.57,0.807955571,0.817020945,0.812488258,6.0,0.13333333333333333,0.4654970760233918,-0.0,0.3979113469407822
77,excuse,pardon,5.57,0.752379671,0.759007998,0.755693834,5.4,0.23529411764705882,0.2769690922389805,0.06751505758318403,0.14489607225862075
78,repair,mending,5.57,0.717848986,0.713172801,0.715510894,6.7,0.10526315789473684,0.33020725834193326,-0.0,0.19663397420955675
79,meadow,pasture,5.57,0.756429568,0.77003701,0.763233289,6.2,0.7777777777777778,0.5065359477124183,0.848680662409781,0.4571972922647078
81,warfare,combat,5.57,0.825053312,0.829771109,0.82741221,6.5,0.8235294117647058,0.7279411764705882,0.7525140447554182,0.6753740005670201
82,worship,adoration,5.55,0.755688369,0.754639201,0.755163785,5.8,0.26666666666666666,0.5545321637426901,0.07532793541500224,0.3837190712341109
84,surprise,astonishment,5.55,0.838788703,0.851093523,0.844941113,6.0,0.9230769230769231,0.4886877828054299,0.9286313084492763,0.35972891731830253
85,vessel,ship,5.54,0.864625469,0.865470611,0.86504804,6.3,0.21052631578947367,0.5981620718462823,0.08990873832821077,0.4987866598254152
86,control,regulation,5.53,0.767879687,0.779858641,0.773869164,5.6,0.3076923076923077,0.31340752965436336,0.07594314805718652,0.1275933892760664
87,capture,seizure,5.52,0.737842694,0.744180232,0.741011463,6.1,0.5,0.4325219440002721,0.22837048424119957,0.24597984621913777
88,pistol,gun,5.52,0.857225589,0.848140225,0.852682907,6.9,0.9090909090909091,0.4904950122341427,0.9110534171742991,0.3392776730388505
89,posture,stance,5.51,0.884247355,0.867573723,0.875910539,6.4,0.9230769230769231,0.5503663003663004,0.9364611582604041,0.41141170586296955
90,damage,harm,5.51,0.855737619,0.860201478,0.857969549,6.8,0.25,0.4602614379084968,0.0857384707262127,0.295270032343499
91,preserves,jam,5.48,0.621052697,0.642282248,0.631667472,4.5,0.9523809523809523,0.26797155265615014,0.8948200133086894,0.1437455919621523
92,picture,photograph,5.48,0.851053931,0.866593771,0.858823851,7.0,0.875,0.41368993751346694,0.7558044340801269,0.30203050587115376
93,daring,boldness,5.47,0.826737382,0.822173141,0.824455261,6.5,0.23529411764705882,0.42843137254901964,0.07036424780047318,0.33040649633449215
94,advice,guidance,5.47,0.857120283,0.86022453,0.858672407,6.8,0.7272727272727273,0.4329004329004329,0.48199717909032996,0.21377527544305364
95,terror,fright,5.47,0.789272487,0.796396255,0.792834371,6.6,0.9333333333333333,0.37083333333333335,0.8822442319061911,0.2400164532863268
96,double,duplicate,5.46,0.750068545,0.748505011,0.749286778,6.7,0.11764705882352941,0.2594535804752523,-0.0,0.0572763918205315
97,challenge,dare,5.45,0.704155669,0.706189334,0.705172502,5.9,0.2857142857142857,0.5883193277310925,0.06853838799867165,0.41793337796283075
98,safety,security,5.45,0.833805941,0.832790487,0.833298214,7.0,0.9230769230769231,0.23610932584867309,0.9872725534361944,0.0831782762032249
99,prairie,grassland,5.44,0.781065196,0.787675239,0.784370217,6.9,0.8235294117647058,0.8235294117647058,0.9334157645696867,0.9334157645696867
100,contest,competition,5.44,0.831898496,0.83884789,0.835373193,6.8,0.36363636363636365,0.5291083916083916,0.08467889236153035,0.3317662330719796
101,talent,skill,5.43,0.832933582,0.837459184,0.835196383,6.3,0.7142857142857143,0.4404761904761905,0.568776345280872,0.28426994622222235
102,highway,turnpike,5.43,0.751073375,0.742189832,0.746631604,6.1,0.5263157894736842,0.7076023391812865,0.2537697854707391,0.5789571551911451
103,wagon,cart,5.43,0.751926519,0.722984083,0.737455301,6.2,0.9523809523809523,0.6953859456826208,0.9602841101609493,0.5574812510746754
104,palace,castle,5.42,0.844509616,0.845312148,0.844910882,6.0,1.0,0.40126670285339017,1.0,0.24696501637887897
105,adult,grownup,5.78,0.759593189,0.754149646,0.756871417,6.7,0.75,0.75,1.0,0.6301159342094815
106,status,rank,5.77,0.757023208,0.767613225,0.762318216,6.4,0.3333333333333333,0.5333333333333333,0.08589069197087011,0.3412603484060487
107,savage,barbarian,5.77,0.808767468,0.821950905,0.815359186,5.2,1.0,0.700751879699248,1.0,0.4063349518610373
108,poison,venom,5.77,0.80929587,0.820951469,0.81512367,5.8,0.7692307692307693,0.3637362637362638,0.8831595630566172,0.2780158986335797
109,purpose,intention,5.74,0.839396864,0.836145155,0.83777101,6.9,1.0,0.44402726902726897,1.0,0.27310243919500193
110,echo,reverberation,5.74,0.803939246,0.82641317,0.815176208,6.4,1.0,0.3164128899423017,1.0,0.19135794697845201
111,ethics,morals,5.74,0.838052556,0.840783991,0.839418273,6.7,1.0,0.4198593073593073,1.0,0.23043390326291552
112,delight,pleasure,5.72,0.848579586,0.854966857,0.851773221,6.6,0.9230769230769231,0.41579508726567554,0.9316378411839398,0.2682226622212623
113,moisture,dampness,5.72,0.806151696,0.797050431,0.801601063,6.5,0.8571428571428571,0.8571428571428571,0.899469290773262,0.899469290773262
114,vigor,energy,5.72,0.771422401,0.76606375,0.768743075,6.8,0.13333333333333333,0.37433694125423456,-0.0,0.2431726492187052
115,human,person,5.71,0.763168484,0.740927562,0.752048023,7.0,0.5714285714285714,0.3434343434343434,0.44307898435689597,0.21003752172125353
116,logic,reasoning,5.71,0.850067817,0.849947013,0.850007415,6.5,0.4444444444444444,0.4549019607843137,0.2994566691846012,0.30128486236497853
117,desire,wish,5.71,0.82656268,0.811834387,0.819198534,6.3,0.9230769230769231,0.35457935310876487,0.9204286748178113,0.19002585556449667
118,curtain,drape,5.69,0.676792666,0.671673872,0.674233269,6.8,1.0,0.5115079365079365,1.0,0.2850877254670032
119,justice,fairness,5.68,0.810462624,0.801948182,0.806205403,6.8,0.8571428571428571,0.2917582417582417,0.8716287122814323,0.13949912094766267
120,number,quantity,5.67,0.787492938,0.796407394,0.791950166,6.5,0.4,0.33202812604726484,0.12794901145431972,0.14127815164284468
121,sequence,series,5.67,0.816064149,0.818881936,0.817473043,6.7,0.9230769230769231,0.29644615176459493,0.9718794344329622,0.10831283340787148
122,player,contestant,5.66,0.775953233,0.796357676,0.786155455,5.9,0.7058823529411765,0.6841589267285861,0.9308463605733219,0.3441374646728591
123,fraction,part,5.66,0.699521728,0.677864335,0.688693032,6.4,0.6666666666666666,0.28340260172690507,0.46513147865572374,0.09547857096791317
124,trouble,difficulty,5.66,0.839859232,0.857188702,0.848523967,6.3,0.35294117647058826,0.43412454239660114,0.2122052266451064,0.2484131229842805
125,witness,observer,5.65,0.766864866,0.775633767,0.771249317,6.1,0.7058823529411765,0.5870232708468003,0.8717338508941171,0.31277966520414413
126,rancher,cattleman,5.65,0.837517612,0.840086982,0.838802297,6.9,0.8571428571428571,0.6785714285714286,0.8063806744530889,0.5109458367595301
127,ration,allowance,5.64,0.752374887,0.73635532,0.744365104,5.8,0.14285714285714285,0.2889576883384933,-0.0,0.17549970617297497
128,crossing,intersection,5.64,0.754630156,0.772000626,0.763315391,5.7,0.2857142857142857,0.23779995946289242,0.16888661282800368,0.0805215337995767
129,union,joining,5.63,0.756046221,0.753027797,0.754537009,5.6,0.26666666666666666,0.2836670553388819,0.07889898741829232,0.12770310920973116
130,verdict,decision,5.62,0.792169079,0.785527393,0.788848236,6.0,0.5555555555555556,0.4193464052287582,0.28124963134880593,0.19637828173477548
131,fashion,style,5.62,0.829974532,0.823546402,0.826760467,6.7,1.0,0.29205699032840404,1.0,0.11911705817769463
132,quiet,silence,5.62,0.843504213,0.846583463,0.845043838,6.5,0.11764705882352941,0.446078431372549,-0.0,0.278602582670825
133,fourth,quarter,5.62,0.731259488,0.732332855,0.731796172,5.4,0.2222222222222222,0.24861283962821373,0.07267220255207371,0.10403911089035625
134,statute,law,5.61,0.818099976,0.807946801,0.813023388,6.8,0.2857142857142857,0.32155493776457955,0.07895171326300322,0.15219865024312992
135,instant,moment,5.61,0.789316826,0.791664228,0.790490527,6.6,0.46153846153846156,0.40848077576018754,0.31132992185745934,0.25475771851675005
136,impulse,urge,5.6,0.836896613,0.829464979,0.833180796,5.9,1.0,0.45134310134310135,1.0,0.23326825274394916
137,pastor,minister,5.6,0.842738062,0.821805947,0.832272004,6.4,1.0,0.3421382139812447,1.0,0.22521965350564582
138,design,pattern,5.6,0.761832617,0.754639335,0.758235976,6.1,0.4,0.3708210899069479,0.19728776586770755,0.19110605221085736
139,canyon,gorge,5.6,0.792120405,0.767398991,0.779759698,6.3,0.875,0.5178571428571429,0.9213558407326787,0.3599460928665809
140,purchase,buy,6.79,0.887216702,0.881412886,0.884314794,7.0,0.25,0.36041666666666666,0.08229621075412306,0.2683398292837854
141,lawyer,attorney,6.78,0.907174245,0.911638841,0.909406543,7.0,1.0,1.0,1.0,1.0
142,autumn,fall,6.72,0.822227828,0.783872209,0.803050019,6.9,1.0,0.3119218200100553,1.0,0.14276111066081973
143,penny,cent,6.71,0.712191902,0.70231308,0.707252491,6.9,0.875,0.6354166666666666,0.8597378568040495,0.6133098439823965
144,taxi,cab,6.71,0.862714656,0.836815074,0.849764865,6.8,0.45454545454545453,0.6981818181818182,0.22477320574472906,0.6002768024579886
145,auto,car,6.68,0.769805036,0.778822906,0.774313971,7.0,1.0,0.6311688311688312,1.0,0.5397111798904737
146,error,mistake,6.66,0.855446808,0.845890544,0.850668676,7.0,1.0,0.4434414791557649,1.0,0.25379015907225205
147,pupil,student,6.63,0.824102156,0.828797989,0.826450072,6.6,1.0,0.6059511523907809,1.0,0.351037634318885
148,victor,winner,6.6,0.83493387,0.830093391,0.83251363,6.8,0.6666666666666666,0.7352941176470588,0.2206063634993105,0.35817130157693916
149,answer,reply,6.58,0.840241484,0.848409951,0.844325718,6.5,1.0,0.501941391941392,1.0,0.3439589763311033
150,present,gift,6.56,0.645776339,0.671704188,0.658740263,7.0,0.3333333333333333,0.34985754985754985,0.11041530303568203,0.1833544334130423
151,teacher,instructor,6.56,0.872511029,0.881482631,0.87699683,6.7,1.0,0.5588235294117647,1.0,0.5
152,result,outcome,6.47,0.85123685,0.855048664,0.853142757,6.9,0.16666666666666666,0.40541958041958037,-0.0,0.2723865143726916
153,triumph,victory,6.45,0.869214699,0.877262473,0.873238586,6.8,1.0,0.625,1.0,0.5378833588364612
154,basement,cellar,6.44,0.855259955,0.869503669,0.862381812,6.3,1.0,0.7418300653594772,1.0,0.497064692955544
155,excess,surplus,6.43,0.780648179,0.786552265,0.783600222,6.7,1.0,0.5035014005602241,1.0,0.4330222787210406
156,display,exhibit,6.41,0.836020738,0.844805025,0.840412881,6.4,0.46153846153846156,0.3395776029096462,0.30652673158584337,0.18267063521411006
157,consent,permission,6.41,0.824746624,0.808661655,0.816704139,6.6,0.9230769230769231,0.5865384615384616,0.8822680683783239,0.478453762993615
158,comment,remark,6.4,0.864891365,0.866916053,0.865903709,6.7,1.0,0.49444444444444446,1.0,0.3445440763084457
159,clothing,apparel,6.39,0.891576372,0.891129613,0.891352993,6.9,0.9411764705882353,0.9411764705882353,0.817661298793694,0.817661298793694
160,center,middle,6.37,0.748710051,0.744319707,0.746514879,6.0,1.0,0.25808933021265307,1.0,0.08411356660143854
161,command,order,6.37,0.721817091,0.712335169,0.71707613,6.8,0.9333333333333333,0.355470327991336,0.9565033654583813,0.152957875051894
162,streetcar,trolley,6.37,0.793738909,0.781602718,0.787670814,6.9,1.0,1.0,1.0,1.0
163,prison,jail,6.36,0.893495671,0.890219614,0.891857643,7.0,0.9090909090909091,0.5133689839572192,0.9126307807795391,0.45631539038976954
164,custom,tradition,6.35,0.803648636,0.805706397,0.804677516,5.7,0.42857142857142855,0.45324708830900784,0.20589631284989404,0.28283956759926016
165,courage,bravery,6.34,0.912209183,0.905549705,0.908879444,7.0,1.0,0.7307692307692308,1.0,0.6321178268586132
166,balance,equilibrium,6.34,0.796517238,0.79402642,0.795271829,6.0,0.9230769230769231,0.27024986262665457,0.9711202707403624,0.09064561359423319
167,singer,vocalist,6.34,0.848791838,0.855302744,0.852047291,6.9,1.0,0.7142857142857143,1.0,0.4891827999014689
168,plenty,abundance,6.33,0.793603979,0.797590077,0.795597028,6.8,0.9411764705882353,0.4044817927170869,0.9320274154220709,0.21541652476178738
169,worker,laborer,6.32,0.827335991,0.812756747,0.820046369,6.7,0.631578947368421,0.6021531100478468,0.759887539562262,0.3760591876262488
170,rabbit,bunny,6.3,0.878268294,0.867406324,0.872837309,6.6,0.4444444444444444,0.36101615858737296,0.1663472857502997,0.21411219281275098
171,author,writer,6.05,0.856190935,0.857269064,0.856729999,7.0,1.0,0.7324561403508771,1.0,0.46159829129676677
172,money,currency,6.04,0.810703553,0.825015247,0.8178594,6.4,0.8571428571428571,0.4055088702147525,0.8798013963142782,0.2528664171779009
173,rival,opponent,6.04,0.799180321,0.80665575,0.802918036,6.9,0.6666666666666666,0.6862745098039216,0.6218721685155072,0.43578821164165155
175,country,nation,6.03,0.877804048,0.882737473,0.880270761,7.0,1.0,0.3349127506480448,1.0,0.22387158890065945
176,children,youngsters,5.99,0.857546329,0.848287977,0.852917153,6.4,1.0,0.7422600619195046,1.0,0.4619231295727705
177,event,occurrence,5.99,0.776501134,0.781625673,0.779063404,6.6,0.8888888888888888,0.35418470418470416,0.6708925185922551,0.1544375883808204
178,walker,pedestrian,5.99,0.789629713,0.802795045,0.796212379,6.8,0.5454545454545454,0.5850611376927167,0.20227934182627816,0.3003843640678254
179,sunrise,dawn,5.98,0.829797223,0.827556849,0.828677036,7.0,1.0,0.36551130423679434,1.0,0.21379131535241672
180,label,tag,5.98,0.799798012,0.794464856,0.797131434,6.7,0.25,0.3389122315592904,0.06461640828525211,0.1533362330111972
181,column,pillar,5.96,0.730132841,0.733388565,0.731760703,6.5,0.23529411764705882,0.30847122605636534,0.06520273972538124,0.12822759230548325
182,decrease,reduction,5.94,0.86321447,0.859669685,0.861442078,6.9,0.5,0.38751758862052976,0.2716755436238241,0.21615813250317714
183,profit,gain,5.94,0.794909179,0.761143148,0.778026164,6.7,0.26666666666666666,0.445845004668534,0.08698843003639774,0.3250968456604458
184,motive,reason,5.92,0.775022097,0.775544196,0.775283147,6.3,0.8,0.30613427966369144,0.955913773863781,0.14438113445899237
185,fabric,cloth,5.92,0.792468831,0.804816604,0.798642717,7.0,1.0,0.5769230769230769,1.0,0.5
186,engine,motor,5.91,0.773658216,0.767004251,0.770331234,7.0,0.9473684210526315,0.5187664674506779,0.9728273866464786,0.284584009063347
187,feeling,emotion,5.9,0.784490347,0.798578598,0.791534472,6.6,0.9090909090909091,0.445043845043845,0.9102546351937564,0.2929057819766181
188,concept,idea,5.9,0.869700842,0.862512954,0.866106898,7.0,0.9230769230769231,0.6025425554837319,0.9672871091818128,0.5109978649635263
189,carpet,rug,5.9,0.834085032,0.831452407,0.83276872,6.9,1.0,0.7857142857142857,1.0,0.5698533673873268
190,protest,objection,5.9,0.795425542,0.795884609,0.795655075,5.9,0.6666666666666666,0.7041666666666667,0.23045138400143325,0.4337159708384572
191,commerce,trade,5.89,0.807766184,0.784269311,0.796017747,7.0,0.9411764705882353,0.3461495000813886,0.7607600753296697,0.1951581570239406
192,poultry,fowl,5.88,0.753142387,0.740616918,0.746879652,6.8,1.0,0.5859649122807018,1.0,0.5313956814512713
193,question,inquiry,5.88,0.781936914,0.788596071,0.785266493,6.5,0.3333333333333333,0.3216049382716049,0.21300343443596026,0.14958951408289153
194,shortage,deficiency,5.88,0.832310624,0.839490108,0.835900366,6.4,0.4,0.6666666666666666,0.2679512214123765,0.5741181996730195
195,income,earnings,5.88,0.862176232,0.865569629,0.86387293,6.8,0.9473684210526315,0.6842105263157894,0.926109011815714,0.8046700930833763
196,insect,bug,5.87,0.827420168,0.791526154,0.809473161,7.0,0.9523809523809523,0.536872930990578,0.7203294279754106,0.2546435682469604
197,story,tale,5.87,0.892810248,0.886713199,0.889761724,7.0,1.0,0.5389423076923077,1.0,0.43804031942540966
198,delay,postponement,5.87,0.83298783,0.846053772,0.839520801,6.9,1.0,0.6316849816849817,1.0,0.5101200151084453
199,expense,cost,5.84,0.835297182,0.830746971,0.833022077,7.0,0.9333333333333333,0.405026455026455,0.7707477888297447,0.23113142893392563
200,labor,work,5.84,0.787139863,0.77011583,0.778627846,6.9,0.3076923076923077,0.24249802818230182,0.09651798248756635,0.09836152561769596
201,hazard,danger,5.79,0.836047441,0.835026205,0.835536823,6.8,0.18181818181818182,0.2959659857686174,-0.0,0.11232806709523445
202,summit,top,5.79,0.728529148,0.727497928,0.728013538,6.4,0.16666666666666666,0.27918878507113803,-0.0,0.11507341709128452
203,tremble,shake,5.79,0.773512028,0.748335376,0.760923702,6.7,0.26666666666666666,0.29388032990974167,0.06038487578377074,0.17673081263062848
204,survey,questionnaire,5.78,0.833002076,0.844506226,0.838754151,5.5,0.2222222222222222,0.2814814814814815,0.07653108463651954,0.15173793834856844
205,driver,motorist,5.78,0.813310653,0.823550522,0.818430588,7.0,0.9090909090909091,0.43550632374161785,0.9042830109445916,0.27222940732848555
206,slaughter,massacre,6.29,0.869272381,0.863238096,0.866255239,6.0,0.8333333333333334,0.7380952380952381,0.6586275829570045,0.621096248384385
207,murder,homicide,6.29,0.881141558,0.885336146,0.883238852,6.9,0.9565217391304348,0.9565217391304348,0.9854001207651445,0.9854001207651445
208,inside,interior,6.29,0.751568653,0.760887794,0.756228223,6.5,1.0,0.5882509303561935,1.0,0.5301883608625797
209,defect,flaw,6.29,0.805658385,0.800664157,0.803161271,6.8,0.8333333333333334,0.6464285714285714,0.875093924601665,0.5293013171380049
