rank,lemma,PoS,freq,synonym,synset
244,read,v,386137,understand,Synset('understand.v.03')
247,sure,a,383701,certain,Synset('certain.a.02')
248,small,a,382563,humble,Synset('humble.s.01')
249,month,n,381833,,
250,program,n,375708,programme,Synset('program.n.07')
251,maybe,r,374325,perhaps,Synset('possibly.r.01')
252,right,a,373934,correct,Synset('correct.a.01')
254,business,n,373744,concern,Synset('business.n.01')
255,home,n,370758,plate,Synset('home_plate.n.01')
256,kind,n,367584,form,Synset('kind.n.01')
257,stop,v,366567,halt,Synset('stop.v.01')
258,pay,v,365255,devote,Synset('give.v.10')
259,study,n,364915,discipline,Synset('discipline.n.01')
261,issue,n,362137,progeny,Synset('offspring.n.01')
262,name,n,361916,epithet,Synset('name.n.06')
263,idea,n,358006,thought,Synset('idea.n.01')
264,room,n,357682,way,Synset('room.n.02')
265,percent,n,357515,percentage,Synset('percentage.n.01')
266,far,r,357192,,
267,away,r,355515,forth,Synset('away.r.01')
268,law,n,354958,jurisprudence,Synset('law.n.01')
269,actually,r,353857,really,Synset('actually.r.01')
270,large,a,353703,gravid,Synset('big.s.13')
272,provide,v,351941,furnish,Synset('supply.v.01')
273,lose,v,351650,mislay,Synset('misplace.v.01')
274,power,n,351483,force,Synset('power.n.05')
275,kid,n,351451,child,Synset('child.n.02')
276,war,n,350575,warfare,Synset('war.n.01')
277,understand,v,349141,interpret,Synset('understand.v.03')
278,head,n,348664,nous,Synset('mind.n.01')
279,mother,n,348470,,
280,real,a,348239,veridical,Synset('veridical.s.01')
281,best,a,348202,,
282,team,n,348063,squad,Synset('team.n.01')
283,eye,n,347153,oculus,Synset('eye.n.01')
284,long,r,345462,,
285,long,a,345005,,
286,side,n,342841,face,Synset('side.n.04')
287,water,n,342574,H2O,Synset('water.n.01')
288,young,a,341002,immature,Synset('young.a.01')
289,wait,v,339926,waitress,Synset('wait.v.04')
290,okay,r,339699,O.K.,Synset('okay.r.01')
292,yet,r,338408,hitherto,Synset('so_far.r.01')
294,meet,v,333954,see,Synset('meet.v.01')
295,service,n,332313,avail,Synset('avail.n.01')
296,area,n,331866,orbit,Synset('sphere.n.01')
297,important,a,331646,significant,Synset('significant.a.01')
298,person,n,330987,someone,Synset('person.n.01')
300,thank,v,330129,,
301,much,r,329230,lots,Synset('a_lot.r.01')
303,end,n,328699,death,Synset('end.n.06')
304,change,v,327637,transfer,Synset('transfer.v.06')
305,however,r,326015,notwithstanding,Synset('however.r.01')
307,around,r,324064,about,Synset('about.r.03')
308,hour,n,323999,hr,Synset('hour.n.01')
310,national,a,321960,,
312,line,n,319492,stemma,Synset('lineage.n.01')
313,girl,n,319120,miss,Synset('girl.n.01')
315,watch,v,318772,view,Synset('watch.v.03')
317,father,n,318173,don,Synset('don.n.03')
318,sit,v,315022,,
319,create,v,314631,,
320,information,n,314341,data,Synset('data.n.01')
321,car,n,313437,motorcar,Synset('car.n.01')
322,learn,v,312649,acquire,Synset('learn.v.01')
323,least,r,311569,,
324,already,r,311502,,
325,kill,v,307305,down,Synset('toss_off.v.02')
326,minute,n,306541,min,Synset('minute.n.01')
327,party,n,304325,company,Synset('party.n.03')
328,include,v,304197,admit,Synset('admit.v.03')
329,stand,v,303462,abide,Synset('digest.v.03')
330,together,r,302942,,
331,back,n,302390,rear,Synset('back.n.03')
332,follow,v,300266,adopt,Synset('adopt.v.01')
333,health,n,300262,wellness,Synset('health.n.01')
334,remember,v,298221,commemorate,Synset('commemorate.v.02')
335,often,r,295709,oftentimes,Synset('frequently.r.01')
336,reason,n,295577,grounds,Synset('cause.n.02')
337,speak,v,295523,address,Synset('address.v.02')
338,ago,r,294921,,
339,set,v,293144,ready,Synset('fix.v.12')
340,black,a,293101,ignominious,Synset('black.s.12')
341,member,n,292596,phallus,Synset('penis.n.01')
342,community,n,290489,,
344,social,a,290372,societal,Synset('social.a.01')
345,news,n,289175,word,Synset('news.n.01')
346,allow,v,288559,permit,Synset('allow.v.10')
347,win,v,288308,succeed,Synset('succeed.v.01')
348,body,n,287817,eubstance,Synset('consistency.n.01')
349,lead,v,285740,chair,Synset('moderate.v.01')
350,continue,v,282352,proceed,Synset('continue.v.02')
352,enough,r,280789,plenty,Synset('enough.r.01')
353,spend,v,280371,expend,Synset('spend.v.02')
354,level,n,279770,layer,Synset('level.n.07')
355,able,a,279559,capable,Synset('able.s.02')
356,political,a,279410,,
357,almost,r,279393,nearly,Synset('about.r.07')
358,boy,n,279283,son,Synset('son.n.01')
359,university,n,279132,,
361,stay,v,275504,stick,Synset('stay.v.02')
362,add,v,275233,bestow,Synset('lend.v.01')
363,later,r,274178,afterwards,Synset('subsequently.r.01')
364,change,n,274132,,
366,probably,r,269732,likely,Synset('probably.r.01')
367,center,n,268821,plaza,Synset('plaza.n.02')
369,face,n,266458,side,Synset('side.n.04')
370,public,a,265061,,
371,die,v,264537,break,Synset('fail.v.04')
372,food,n,262697,nutrient,Synset('food.n.01')
373,else,r,261804,,
374,history,n,261045,story,Synset('history.n.02')
375,buy,v,260201,bribe,Synset('bribe.v.01')
376,result,n,259961,solvent,Synset('solution.n.02')
377,morning,n,259129,dawn,Synset('dawn.n.02')
379,parent,n,258181,,
380,office,n,258157,power,Synset('office.n.04')
381,course,r,257245,naturally,Synset('naturally.r.01')
382,send,v,256309,direct,Synset('send.v.01')
383,research,n,255123,enquiry,Synset('inquiry.n.01')
384,walk,v,253671,,
385,door,n,252623,threshold,Synset('doorway.n.01')
386,white,a,251664,snowy,Synset('white.s.04')
388,court,n,250891,tribunal,Synset('court.n.01')
389,home,r,250331,,
390,grow,v,248803,raise,Synset('grow.v.07')
391,better,a,247453,,
392,open,v,247043,,
393,moment,n,246362,mo,Synset('moment.n.02')
395,consider,v,244644,regard,Synset('regard.v.02')
398,little,r,244049,,
401,late,a,242755,previous,Synset('former.s.03')
402,street,n,242552,,
403,free,a,242338,detached,Synset('detached.s.06')
404,better,r,241827,,
406,policy,n,240181,insurance,Synset('policy.n.03')
407,table,n,238887,,
408,sorry,a,237541,no-account,Synset('good-for-nothing.s.01')
409,care,n,237259,upkeep,Synset('care.n.06')
410,low,a,237027,low-toned,Synset('low.s.03')
411,human,a,236187,,
412,please,r,236175,,
413,hope,v,235945,desire,Synset('hope.v.01')
414,True,a,235467,,
415,process,n,235304,operation,Synset('process.n.02')
416,teacher,n,234642,instructor,Synset('teacher.n.01')
417,data,n,234516,information,Synset('data.n.01')
418,offer,v,234189,extend,Synset('extend.v.04')
419,death,n,233153,,
420,whole,a,233110,hale,Synset('hale.s.01')
421,experience,n,232376,,
422,plan,n,231629,design,Synset('design.n.02')
423,easy,a,231262,sluttish,Synset('easy.s.10')
424,education,n,231036,training,Synset('education.n.05')
425,build,v,230071,establish,Synset('build.v.03')
426,expect,v,229855,require,Synset('ask.v.04')
427,fall,v,229161,decrease,Synset('decrease.v.01')
429,age,n,228610,eld,Synset('age.n.03')
430,hard,a,228234,backbreaking,Synset('arduous.s.01')
431,sense,n,226539,sentience,Synset('sense.n.03')
433,show,n,225884,appearance,Synset('appearance.n.06')
434,early,a,224665,,
435,college,n,224634,,
436,music,n,222767,euphony,Synset('music.n.02')
437,appear,v,221287,look,Synset('look.v.02')
438,mind,n,220441,thinker,Synset('thinker.n.01')
439,class,n,219160,family,Synset('class.n.01')
440,police,n,219041,constabulary,Synset('police.n.01')
441,use,n,218006,habit,Synset('habit.n.02')
442,effect,n,217999,impression,Synset('impression.n.02')
443,season,n,217695,,
444,tax,n,217131,taxation,Synset('tax.n.01')
445,heart,n,216345,centre,Synset('kernel.n.03')
446,son,n,216216,boy,Synset('son.n.01')
447,art,n,215981,artwork,Synset('artwork.n.01')
448,possible,a,213803,potential,Synset('potential.a.01')
449,serve,v,213511,service,Synset('service.v.01')
450,break,v,213364,bust,Synset('break.v.04')
452,end,v,212174,terminate,Synset('end.v.03')
453,market,n,210848,grocery,Synset('grocery_store.n.01')
455,air,n,210307,atmosphere,Synset('atmosphere.n.03')
456,force,n,210010,strength,Synset('force.n.03')
457,require,v,209616,expect,Synset('ask.v.04')
458,foot,n,209334,pes,Synset('foot.n.01')
460,listen,v,208819,hear,Synset('listen.v.02')
461,agree,v,208506,accord,Synset('harmonize.v.01')
464,baby,n,207577,babe,Synset('baby.n.05')
465,wrong,a,206856,improper,Synset('improper.s.03')
466,love,n,206700,lovemaking,Synset('sexual_love.n.02')
467,cut,v,205886,edit,Synset('edit.v.03')
468,decide,v,205447,adjudicate,Synset('decide.v.02')
469,republican,n,204793,,
470,full,a,204252,good,Synset('full.s.06')
472,pass,v,203033,hap,Synset('happen.v.01')
473,interest,n,202642,sake,Synset('sake.n.01')
474,sometimes,r,201833,,
475,security,n,201542,,
476,eat,v,201315,exhaust,Synset('consume.v.05')
477,report,v,201020,cover,Synset('report.v.05')
478,control,n,200879,ascendence,Synset('dominance.n.02')
479,rate,n,200828,pace,Synset('pace.n.03')
480,local,a,200668,,
481,suggest,v,200560,intimate,Synset('suggest.v.03')
482,report,n,200188,account,Synset('report.n.03')
483,nation,n,200021,commonwealth,Synset('state.n.04')
484,sell,v,198982,betray,Synset('betray.v.02')
485,action,n,198530,activeness,Synset('action.n.02')
486,support,v,198185,patronage,Synset('patronize.v.04')
487,wife,n,197306,,
488,decision,n,196426,determination,Synset('decision.n.02')
489,receive,v,196239,get,Synset('get.v.25')
490,value,n,195639,,
491,base,v,195474,found,Synset('establish.v.08')
492,pick,v,195443,piece,Synset('nibble.v.03')
493,phone,n,194941,telephone,Synset('telephone.n.01')
494,thanks,n,194839,,
495,event,n,194748,effect,Synset('consequence.n.01')
496,drive,v,194360,aim,Synset('drive.v.11')
497,strong,a,193876,potent,Synset('potent.s.02')
498,reach,v,193684,attain,Synset('reach.v.02')
499,remain,v,193577,stay,Synset('persist.v.03')
500,explain,v,193276,excuse,Synset('excuse.v.03')
501,site,n,193251,website,Synset('web_site.n.01')
502,hit,v,192969,pip,Synset('shoot.v.01')
503,pull,v,192457,draw,Synset('attract.v.01')
504,church,n,191872,,
505,model,n,191448,simulation,Synset('model.n.04')
506,perhaps,r,191398,mayhap,Synset('possibly.r.01')
507,relationship,n,191344,,
509,fine,a,190779,ok,Synset('all_right.s.01')
510,movie,n,190773,flick,Synset('movie.n.01')
511,field,n,190489,bailiwick,Synset('discipline.n.01')
512,raise,v,190353,,
513,less,r,190003,,
514,player,n,189280,histrion,Synset('actor.n.01')
515,couple,n,189272,mates,Synset('couple.n.02')
518,record,n,187057,platter,Synset('phonograph_record.n.01')
519,especially,r,186130,specially,Synset('specially.r.01')
520,difference,n,185310,deviation,Synset('deviation.n.01')
521,light,n,185287,luminousness,Synset('luminosity.n.01')
522,development,n,185238,evolution,Synset('development.n.02')
523,federal,a,185144,,
525,role,n,184483,purpose,Synset('function.n.02')
526,pretty,r,183711,middling,Synset('reasonably.r.01')
528,view,n,182417,scene,Synset('view.n.02')
529,price,n,181918,damage,Synset('price.n.02')
530,effort,n,181751,attempt,Synset('attempt.n.01')
531,nice,a,181568,decent,Synset('decent.s.01')
532,quite,r,181432,rather,Synset('quite.r.01')
534,voice,n,181328,representative,Synset('spokesperson.n.01')
535,finally,r,181233,last,Synset('last.r.02')
536,department,n,181181,section,Synset('department.n.01')
537,either,r,181133,,
539,leader,n,180573,,
541,photo,n,177976,photograph,Synset('photograph.n.01')
542,wear,v,177786,bear,Synset('wear.v.02')
543,space,n,177126,infinite,Synset('space.n.01')
544,project,n,177076,projection,Synset('project.n.02')
545,return,v,176787,yield,Synset('render.v.04')
546,position,n,176578,posture,Synset('position.n.12')
547,special,a,176515,extra,Synset('extra.s.02')
548,million,n,175586,billion,Synset('million.n.02')
549,film,n,175442,pic,Synset('movie.n.01')
550,need,n,175440,motive,Synset('motivation.n.01')
551,major,a,175432,,
552,type,n,173975,,
553,town,n,173905,townspeople,Synset('town.n.02')
554,article,n,173819,clause,Synset('article.n.03')
555,road,n,173413,route,Synset('road.n.01')
556,form,n,173161,shape,Synset('shape.n.02')
557,chance,n,172820,prospect,Synset('prospect.n.01')
558,drug,n,172756,,
559,economic,a,172153,economical,Synset('economic.a.01')
560,situation,n,171026,position,Synset('situation.n.02')
561,choose,v,170716,opt,Synset('choose.v.02')
562,practice,n,170654,drill,Synset('exercise.n.03')
563,cause,v,170629,do,Synset('cause.v.01')
564,happy,a,170573,glad,Synset('glad.s.02')
565,science,n,170488,skill,Synset('skill.n.02')
566,join,v,170302,link,Synset('connect.v.03')
567,teach,v,169673,instruct,Synset('teach.v.01')
568,early,r,169653,betimes,Synset('early.r.03')
569,develop,v,168894,,
570,share,v,168892,deal,Synset('share.v.04')
572,carry,v,168820,,
573,clear,a,168587,well-defined,Synset('well-defined.a.02')
574,brother,n,167417,comrade,Synset('brother.n.04')
575,matter,n,167351,subject,Synset('topic.n.02')
576,dead,a,167302,numb,Synset('dead.s.06')
577,image,n,167053,look-alike,Synset('double.n.03')
578,star,n,167036,headliner,Synset('headliner.n.01')
579,cost,n,166775,toll,Synset('price.n.03')
580,simply,r,166556,just,Synset('just.r.04')
581,post,n,166265,berth,Synset('position.n.06')
582,society,n,165769,,
583,picture,n,165703,delineation,Synset('word_picture.n.01')
584,piece,n,165538,bit,Synset('piece.n.05')
585,paper,n,165070,newspaper,Synset('newspaper.n.01')
586,energy,n,164622,vigour,Synset('energy.n.02')
587,personal,a,164270,,
588,building,n,164119,edifice,Synset('building.n.01')
589,military,a,163555,,
590,open,a,163231,receptive,Synset('receptive.a.02')
591,doctor,n,163129,Dr.,Synset('doctor.n.01')
592,activity,n,162943,action,Synset('natural_process.n.01')
593,exactly,r,162663,precisely,Synset('precisely.r.02')
594,american,n,162614,,
595,media,n,162177,,
596,miss,v,162066,escape,Synset('miss.v.09')
597,evidence,n,162050,grounds,Synset('evidence.n.01')
598,product,n,161999,intersection,Synset('intersection.n.04')
599,realize,v,161762,realise,Synset('realize.v.05')
600,save,v,161469,preserve,Synset('save.v.02')
601,arm,n,161185,sleeve,Synset('sleeve.n.01')
602,technology,n,160819,engineering,Synset('engineering.n.02')
603,catch,v,160594,grab,Synset('catch.v.04')
604,comment,n,160451,commentary,Synset('comment.n.02')
605,look,n,160145,face,Synset('expression.n.01')
606,term,n,160014,terminus,Synset('terminus.n.03')
607,color,n,160011,colour,Synset('color.n.04')
608,cover,v,159606,handle,Synset('cover.v.05')
609,describe,v,159521,name,Synset('identify.v.05')
610,guess,v,159454,judge,Synset('estimate.v.01')
611,choice,n,159277,option,Synset('option.n.02')
612,source,n,158588,reference,Synset('reference.n.08')
613,mom,n,158511,mum,Synset('ma.n.01')
614,soon,r,158194,shortly,Synset('soon.r.01')
615,director,n,158028,manager,Synset('director.n.01')
616,international,a,157724,outside,Synset('external.s.03')
617,rule,n,157468,ruler,Synset('rule.n.12')
618,campaign,n,157373,safari,Synset('campaign.n.04')
619,ground,n,156706,earth,Synset('earth.n.02')
620,election,n,156532,,
621,face,v,156455,confront,Synset('confront.v.03')
623,check,v,155591,agree,Synset('match.v.01')
624,page,n,154863,pageboy,Synset('page.n.04')
625,fight,v,154643,press,Synset('crusade.v.01')
627,test,n,154189,trial,Synset('test.n.04')
628,patient,n,154125,,
629,produce,v,154082,acquire,Synset('grow.v.08')
630,certain,a,154059,sealed,Synset('sealed.a.01')
633,video,n,153563,telecasting,Synset('television.n.01')
634,support,n,152769,supporting,Synset('support.n.08')
635,throw,v,152388,bewilder,Synset('bewilder.v.02')
637,care,v,152255,handle,Synset('manage.v.02')
638,rest,n,151864,remainder,Synset('remainder.n.01')
639,recent,a,151697,,
640,available,a,151406,useable,Synset('available.s.03')
641,step,n,151394,gradation,Synset('gradation.n.01')
642,ready,a,151349,,
643,opportunity,n,151226,chance,Synset('opportunity.n.01')
644,official,n,150423,functionary,Synset('official.n.01')
645,oil,n,150410,,
646,call,n,149896,song,Synset('birdcall.n.01')
647,organization,n,149261,organisation,Synset('organization.n.06')
648,character,n,148825,grapheme,Synset('character.n.08')
649,single,a,148796,unmarried,Synset('unmarried.a.01')
650,current,a,148387,,
651,likely,a,148216,potential,Synset('likely.s.03')
652,county,n,148165,,
653,future,n,147923,futurity,Synset('future.n.01')
654,dad,n,147520,papa,Synset('dad.n.01')
657,shoot,v,147137,snap,Synset('photograph.v.01')
658,industry,n,146746,manufacture,Synset('industry.n.02')
659,second,n,146634,moment,Synset('moment.n.02')
660,list,n,146495,inclination,Synset('tilt.n.04')
661,general,a,146275,ecumenical,Synset('cosmopolitan.s.03')
662,stuff,n,145992,clobber,Synset('stuff.n.03')
663,figure,n,145812,image,Synset('trope.n.01')
664,attention,n,145669,tending,Synset('care.n.01')
665,forget,v,145557,bury,Synset('forget.v.01')
666,risk,n,145334,hazard,Synset('hazard.n.01')
668,focus,v,144896,concentrate,Synset('concentrate.v.02')
669,short,a,144842,little,Synset('short.a.03')
670,fire,n,144750,blast,Synset('fire.n.09')
671,dog,n,144648,hound,Synset('cad.n.01')
672,red,a,144046,crimson,Synset('red.s.01')
673,hair,n,143875,whisker,Synset('hair's-breadth.n.01')
674,point,v,143750,orient,Synset('orient.v.01')
675,condition,n,143732,status,Synset('condition.n.01')
676,wall,n,143389,paries,Synset('wall.n.03')
677,daughter,n,142747,girl,Synset('daughter.n.01')
679,deal,n,142589,bargain,Synset('bargain.n.01')
680,author,n,142352,generator,Synset('generator.n.03')
681,truth,n,142017,accuracy,Synset('accuracy.n.01')
683,husband,n,141289,hubby,Synset('husband.n.01')
684,period,n,141173,,
685,series,n,140231,serial,Synset('series.n.03')
686,order,n,140025,ordination,Synset('ordering.n.01')
687,officer,n,139938,policeman,Synset('policeman.n.01')
688,close,a,139704,faithful,Synset('close.s.05')
689,land,n,139579,realm,Synset('kingdom.n.01')
690,note,v,139111,observe,Synset('note.v.03')
691,computer,n,139082,estimator,Synset('calculator.n.01')
692,thought,n,139016,cerebration,Synset('thinking.n.01')
693,economy,n,138752,saving,Synset('economy.n.04')
694,goal,n,138693,end,Synset('goal.n.01')
695,bank,n,138673,camber,Synset('bank.n.07')
696,behavior,n,138400,deportment,Synset('demeanor.n.01')
697,sound,v,138386,vocalise,Synset('voice.v.02')
698,deal,v,138197,take,Synset('consider.v.03')
699,certainly,r,138162,sure,Synset('surely.r.01')
700,nearly,r,138034,closely,Synset('closely.r.03')
701,increase,v,137709,,
702,act,n,137668,number,Synset('act.n.04')
703,north,n,137666,,
705,blood,n,137579,,
706,culture,n,137140,civilization,Synset('culture.n.01')
707,medical,a,136850,,
708,ok,r,136788,,
710,top,n,136658,tip,Synset('peak.n.04')
711,difficult,a,136474,hard,Synset('difficult.a.01')
712,close,v,136431,shut,Synset('close.v.01')
713,language,n,136124,speech,Synset('language.n.05')
714,window,n,136043,,
715,response,n,135942,reply,Synset('reply.n.02')
716,population,n,135733,universe,Synset('population.n.03')
717,lie,v,135712,consist,Synset('dwell.v.02')
718,tree,n,135666,,
719,park,n,135440,ballpark,Synset('ballpark.n.01')
720,worker,n,135244,actor,Synset('actor.n.02')
721,draw,v,135022,depict,Synset('describe.v.01')
722,plan,v,135011,design,Synset('design.v.04')
723,drop,v,134220,cast,Synset('shed.v.01')
724,push,v,134206,force,Synset('push.v.01')
725,earth,n,134202,world,Synset('worldly_concern.n.01')
726,cause,n,133998,suit,Synset('lawsuit.n.01')
728,private,a,133907,individual,Synset('individual.s.04')
729,tonight,r,133341,,
730,race,n,133182,raceway,Synset('raceway.n.01')
732,letter,n,132828,missive,Synset('letter.n.01')
734,gun,n,132572,gunman,Synset('gunman.n.02')
735,simple,a,132004,uncomplicated,Synset('elementary.s.01')
736,course,n,131911,class,Synset('course.n.01')
737,wonder,v,131649,question,Synset('wonder.v.02')
738,involve,v,131275,imply,Synset('imply.v.05')
739,hell,n,131265,hellhole,Synset('hell.n.01')
740,poor,a,131105,inadequate,Synset('inadequate.s.02')
742,answer,n,130534,result,Synset('solution.n.02')
743,nature,n,130378,,
744,administration,n,130297,presidency,Synset('presidency.n.01')
745,common,a,130294,vulgar,Synset('common.s.05')
747,hard,r,129919,,
748,message,n,129799,substance,Synset('message.n.02')
749,song,n,129648,strain,Synset('song.n.03')
750,enjoy,v,129575,bask,Synset('enjoy.v.01')
751,similar,a,129272,like,Synset('like.a.01')
752,congress,n,128923,coition,Synset('sexual_intercourse.n.01')
753,attack,n,128893,approach,Synset('approach.n.01')
754,past,a,128832,preceding,Synset('past.s.02')
755,hot,a,128310,,
756,seek,v,128234,search,Synset('search.v.01')
757,amount,n,128075,measure,Synset('measure.n.02')
758,analysis,n,128029,psychoanalysis,Synset('psychoanalysis.n.01')
759,store,n,127984,entrepot,Synset('storehouse.n.01')
760,defense,n,127924,denial,Synset('defense.n.11')
761,bill,n,127919,posting,Synset('poster.n.01')
763,cell,n,127818,cadre,Synset('cell.n.04')
765,performance,n,127318,execution,Synset('performance.n.03')
766,hospital,n,127317,infirmary,Synset('hospital.n.01')
767,bed,n,127232,layer,Synset('layer.n.01')
768,board,n,127202,plank,Synset('board.n.02')
769,protect,v,126672,,
770,century,n,126668,100,Synset('hundred.n.01')
771,summer,n,126418,summertime,Synset('summer.n.01')
772,material,n,126254,,
773,individual,n,125578,soul,Synset('person.n.01')
774,recently,r,125532,lately,Synset('recently.r.01')
775,example,n,125442,exercise,Synset('exercise.n.04')
776,represent,v,125330,exemplify,Synset('exemplify.v.01')
777,fill,v,125249,replete,Synset('satiate.v.01')
778,state,v,125064,say,Synset('state.v.01')
779,place,v,124900,range,Synset('rate.v.01')
780,animal,n,124835,creature,Synset('animal.n.01')
781,fail,v,124675,neglect,Synset('fail.v.01')
782,factor,n,123915,agent,Synset('agent.n.04')
783,natural,a,123788,lifelike,Synset('lifelike.s.02')
784,sir,n,123629,,
785,agency,n,123524,means,Synset('means.n.01')
786,usually,r,123303,unremarkably,Synset('normally.r.01')
787,significant,a,123040,important,Synset('significant.a.01')
788,help,n,123017,aid,Synset('aid.n.01')
789,ability,n,122943,power,Synset('ability.n.02')
790,mile,n,122899,mi,Synset('nautical_mile.n.01')
791,statement,n,122852,command,Synset('instruction.n.04')
792,entire,a,122397,total,Synset('entire.s.01')
793,democrat,n,122325,populist,Synset('democrat.n.02')
794,floor,n,122291,base,Synset('floor.n.03')
795,serious,a,122251,good,Synset('good.s.16')
796,career,n,122177,calling,Synset('career.n.01')
797,dollar,n,121984,clam,Synset('dollar.n.02')
798,vote,v,121578,,
799,sex,n,121352,,
800,compare,v,120978,liken,Synset('compare.v.03')
